Species,Group
Abarenicola claparedi,1
Abarenicola,1
Abyssoninoe hibernica,2
Abra alba,3
Abra nitida,3
Abra prismatica,3
Abra,3
Abra tenuis,3
Acanthocardia aculeata,1
Acanthocardia echinata,1
Acanthocardia paucicostata,1
Acanthocardia,1
Acanthocardia tuberculata,1
Acanthochitona crinita,1
Acanthochitona fascicularis,1
Achelia hispida,1
Achelia simplex,1
Acronida brachiata,1
Acteon,1
Actinia equina,1
Alkmaria romijni,3
Alvania crassa,1
Crisilla semistriata,1
Alvania,1
Amatea trilobata,1
Amathia pruvoti,1
Ampelisca brevicornis,1
Ampelisca spooneri,1
Ampelisca heterodactyla,1
Ampelisca,1
Ampelisca sarsi,1
Ampelisca,1
Ampelisca spinifer,1
Ampelisca spinimana,1
Ampelisca tenuicornis,1
Ampelisca toulemonti,1
Ampharete finmarchica,1
Ampharete grubei,1
Ampharete,1
Ampharete finmarchica,1
Ampharete,1
Amphicteis gunneri,3
Amphipholis squamata,1
Amphitrite johnstoni,1
Acrocnida brachiata,1
Amphiura chiajei,1
Amphiura filiformis,1
Amphiura,1
Amphiura,1
Phyllodoce lineata,2
Phyllodoce maculata,2
Phyllodoce mucosa,2
Phyllodoce,2
Anapagurus hyndmanni,1
Anapagurus laevis,1
Anapagurus,1
Anguilla anguilla,2
Angulus tenuis,1
Anomia ephippium,1
Antennella,1
Anthozoa,1
Anthura gracilis,1
Aonides oxycephala,3
Aora gracilis,1
Aora typica,1
Apherusa cirrus,1
Apherusa ovalipes,1
Aponuphis grubii,1
Apicularia guerini,1
Apistobranchus tullbergi,1
Aponuphis bilineata,2
Aporrhais pespelecani,1
Aporrhais,1
Apseudopsis latreillii,3
Orbinia latreillii,1
Aricidea (Acmira) catherinae,1
Aricidea cerrutii,1
Aricidea (Acmira) assimilis,1
Aricidea (Aricidea) fragilis,1
Aricidea (Acmira) cerrutii,1
Aricidea (Aricidea) minuta,1
Aricidea,1
Armandia cirrhosa,1
Armandia,1
Aspidosiphon (Aspidosiphon) muelleri muelleri,1
Astacilla longicornis,1
Astarte,1
Astarte sulcata,1
Goodallia triangularis,1
Asterina gibbosa,1
Astropecten irregularis,1
Astropecten irregularis typicus,1
Athanas nitescens,1
Anthoathecata,1
Nototropis falcatus,1
Nototropis guttatus,1
Atylus,1
Nototropis swammerdamei,1
Atylus vedlomensis,1
Cirriformia tentaculata,4
Melanella alba,1
Barleeia rubra,2
Bathyporeia elegans,1
Bathyporeia nana,1
Bathyporeia pelagica,1
Bathyporeia pilosa,1
Bathyporeia sarsi,1
Bathyporeia,1
Bathyporeia tenuipes,1
Bela nebula,1
Bela powisiana,1
Bela,1
Bittium reticulatum,1
Boccardia chilensis,1
Boccardia polybranchia,1
Boccardia,1
Bodotria arenosa,2
Bodotria scorpioides,2
Megalomma vesiculosum,1
Branchiostoma lanceolatum,1
Brania arminii,2
Brania pusilla,2
Bugula,1
Callianassa,3
Callianassa subterranea,3
Necallianassa truncata,3
Calliostoma granulatum,1
Calliostoma zizyphinum,1
Calyptraea chinensis,1
Capitella capitata,5
Capitella,5
Capitellides giardi,5
Capitella minima,4
Carcinus maenas,3
Caryophyllia smithi,1
Caulleriella alata,3
Caulleriella bioculata,3
Caulleriella,3
Caulleriella zetlandica,3
Cavernularia pusilla,1
Animoceradocus semiserratus,1
Cerastoderma edule,3
Cerastoderma glaucum,3
Ceratostoma erinaceum,1
Cerebratulus marginatus,3
Cerebratulus,3
Cereus pedunculatus,1
Ceriantario,1
Cerianthus lloydii,1
Cerianthus membranaceus,1
Cerianthus,1
Cestopagurus timidus,1
Chaetopterus variopedatus,1
Chaetozone,4
Chaetozone gibber,4
Chaetozone gibber,4
Chaetozone setosa,4
Chaetozone,4
Chamelea gallina,1
Chamelea gallina striatula,1
Chamelea striatula,1
