species,"ES500,05"
Abra alba,12.36
Abra nitida,4.83
Abra prismatica,11.39
Acanthocardia paucicostata,7.29
Alpheus glaber,14.75
Amaeana trilobata,14.66
Ampelisca brevicornis,4.09
Ampelisca ledoyeri,25.07
Ampelisca pseudosarsi,21.63
Ampelisca sarsi,20.56
Ampelisca truncata,12.18
Ampelisca typica,13.2
Ampharete acutifrons,13.95
Amphicteis gunneri,19.59
Amphipholis squamata,12.33
Amphitrite cirrata,28.23
Amphiura cherbonnieri,25.19
Amphiura chiajei,20.38
Amphiura filiformis,15.01
Anadara transversa,13.74
Ancistrosyllis groenlandica,10.55
Anodontia fragilis,12.96
Anomia ephippium,10.02
Anthura gracilis,21.83
Aonides oxycephala,12.7
Aora spinicornis,9.56
Aphelochaeta marioni,14.97
Apherusa sp.,20.47
Aphylochaeta marioni,14.97
Apocorophium acutum,8.34
Aponuphis bilineata,19.48
Aponuphis brementi,19.26
Apseudopsis latreillii,10.01
Arabella iricolor,21.82
Arca noae,18.43
Arcopagia balaustina,22.19
Arichlidon reyssi,21.02
Aricidea capensis,13.55
Aricidea catherinae,18.8
Aricidea cerruti,13.53
Aricidea claudiae,8.8
Aricidea fragilis,12.11
Aricidea lopezi,16.2
Armandia cirrhosa,4.07
Armandia polyophthalma,24.3
Aspidosiphon kovalevskii,13.15
Aspidosiphon muelleri,12.13
Astacilla longicornis,9.56
Astacilla sp.,10.96
Asterina gibbosa,22.67
Astropecten spinulosus,25.41
Athanas nitescens,24.04
Atylus guttatus,10.51
Azorinus chamasolen,20.97
Bodotria scorpioides,18.07
Branchiostoma lanceolatum,10.77
Callista chione,24.24
Calyptraea chinensis,6.34
Capitella capitata,1.83
Caprella acanthifera,21.31
Cardiomya costellata,20.77
Caulleriella alata,15.75
Caulleriella bioculata,7.03
Chaetopterus variopedatus,24.99
Chaetozone setosa,6.87
Chaetozone sp.,6.85
Chirimia biceps,19.43
Chlamys varia,9.96
Chone acustica,21.61
Chone collaris,22.95
Chone filicaudata,19.61
Cirolana cranchi,19.94
Cirratulus cirratus,12.68
Cirriformia tentaculata,7.03
Cirrophorus branchiatus,14.09
Clausinella brogniarti,22.65
Clymenura clypeata,13.63
Coracuta obliquata,11.2
Corbula gibba,4.84
Corophium sp.,8.34
Cossura coasta,10.58
Ctena decussata,13.37
Cuspidaria cuspidata,24.21
Cylichna cylindracea,8.3
Dasybranchus caducus,21.18
Deflexilodes gibbosus,7.32
Dexamine spinosa,5.95
Diastylis cornuta,23.01
Dipolydora flava,5.23
Dorvillea rubrovittata,13.54
Drilonereis filum,11.33
Ebalia granulosa,17.27
Echinocardium cordatum,22.84
Echinocyamus pusillus,14.12
